school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_013,2_S34,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_013,2_S34,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_013,2_S34,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_013,2_S34,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_016,2_S35,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_016,2_S35,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_016,2_S35,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_016,2_S35,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_016,2_S35,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_018,2_S36,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_018,2_S36,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_018,2_S36,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_018,2_S36,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_018,2_S36,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_012,2_S37,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_012,2_S37,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_012,2_S37,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_012,2_S37,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_012,2_S37,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_020,2_S38,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_020,2_S38,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_020,2_S38,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_020,2_S38,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_020,2_S38,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_019,2_S39,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_019,2_S39,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_019,2_S39,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_019,2_S39,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_019,2_S39,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_017,2_S40,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_017,2_S40,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_017,2_S40,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_017,2_S40,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_017,2_S40,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_070,2_S41,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_070,2_S41,1,2023-05-21 21:00:00
